File,Type,Offset,Index,Japanese,English
ID04025,Robust,0x6882,,始めよ,Start
ID04025,Robust,0x6892,,fただ１つ,f Just one
ID04025,Robust,0x68A2,,明日を,Tomorrow
ID04025,Robust,0x68B2,,！？,!?
ID04025,Robust,0x68B9,,シ、シグマ、,"C, Sigma,"
ID04025,Robust,0x68CC,,f何これ？！,f What is this?!
ID04025,Robust,0x68DD,,何が起こったんだ？,What happened?
ID04025,Robust,0x68F9,,まさか,No way
ID04025,Robust,0x6909,,シグマ！,sigma!
ID04025,Robust,0x6920,,無事！,Safe!
ID04025,Robust,0x692A,,これなら、シグマ,"With this, Sigma"
ID04025,Robust,0x6945,,家\nまで,To my home
ID04025,Robust,0x6953,,帰れるよね？,"We can go home, right?"
ID04025,Robust,0x6966,,あぁ,Ah
ID04025,Robust,0x696D,,$c02逢魔$c00が溢れてる,$c02 Ouma $c00 is overflowing
ID04025,Robust,0x6991,,それに街,And the city
ID04025,Robust,0x69A9,,\n誰もいない,\nNobody
ID04026,Robust,0x0808,,まだ推理は選べません\n本来はメニューに\nマスクがかかります,"You can't choose your deduction yet; normally, the menu would be masked."
ID04030,Robust,0x1F5A,,始めよ,Start
ID04030,Robust,0x1F6A,,fただ１つ,f Just one
ID04030,Robust,0x2002,,これなら、シグマ,"With this, Sigma"
ID04030,Robust,0x201D,,家\nまで,To my home
ID04030,Robust,0x202B,,帰れるよね？,"I can go home, right?"
ID04030,Robust,0x203E,,あぁ,Ah
ID04030,Robust,0x2045,,$c02逢魔$c00が溢れてる,$c02 Ouma $c00 is overflowing
ID04030,Robust,0x2069,,それに街,And the city
ID04030,Robust,0x2081,,\n誰もいない,\nNobody
ID04030,Robust,0x28DC,,が起こったんだ？,
ID04030,Robust,0x28F5,,まさか,No way
ID04030,Robust,0x2905,,シグマ！,sigma!
ID04030,Robust,0x291C,,無事！,Safe!
ID04030,Robust,0x2926,,これなら、シグマ,"With this, Sigma"
ID04030,Robust,0x2941,,家\nまで,To my home
ID04030,Robust,0x294F,,帰れるよね？,"I can go home, right?"
ID04030,Robust,0x2962,,あぁ,Ah
ID04030,Robust,0x2969,,$c02逢魔$c00が溢れてる,$c02 Ouma $c00 is overflowing
ID04030,Robust,0x298D,,それに街,And the city
ID04030,Robust,0x29A5,,\n誰もいない,\nNobody
ID04030,Robust,0x32F4,,シる,
ID04030,Robust,0x34C8,,[無事！,
ID04030,Robust,0x3F5C,,始めよ,Start
ID04030,Robust,0x3F6C,,fただ１つ,f Just one
ID04030,Robust,0x3F7C,,明日を,Tomorrow
ID04030,Robust,0x3F8C,,！？,!?
ID04030,Robust,0x3F93,,シ、シグマ、,"C, Sigma,"
ID04030,Robust,0x3FA6,,f何これ？！,f What is this?!
ID04030,Robust,0x3FB7,,何が起こったんだ？,What happened?
ID04030,Robust,0x3FD3,,まさか,No way
ID04030,Robust,0x3FE3,,シグマ！,sigma!
ID04030,Robust,0x3FFA,,無事！,Safe!
ID04030,Robust,0x4004,,これなら、シグマ,"With this, Sigma"
ID04030,Robust,0x401F,,家\nまで,To my home
ID04030,Robust,0x402D,,帰れるよね？,"I can go home, right?"
ID04030,Robust,0x4040,,あぁ,Ah
ID04030,Robust,0x4047,,$c02逢魔$c00が溢れてる,$c02 Ouma $c00 is overflowing
ID04030,Robust,0x406B,,それに街,And the city
ID04030,Robust,0x4083,,\n誰もいない,\nNobody
ID04030,Robust,0x48DE,,が起こったんだ？,
ID04030,Robust,0x48F7,,まさか,No way
ID04030,Robust,0x4907,,シグマ！,sigma!
ID04030,Robust,0x491E,,無事！,Safe!
ID04030,Robust,0x4928,,これなら、シグマ,"With this, Sigma"
ID04030,Robust,0x4943,,家\nまで,To my home
ID04030,Robust,0x4951,,帰れるよね？,"I can go home, right?"
ID04030,Robust,0x4964,,あぁ,Ah
ID04030,Robust,0x496B,,$c02逢魔$c00が溢れてる,$c02 Ouma $c00 is overflowing
ID04030,Robust,0x498F,,それに街,And the city
ID04030,Robust,0x49A7,,\n誰もいない,\nNobody
ID04030,Robust,0x52F6,,シる,
ID04030,Robust,0x5F5E,,始めよ,Start
ID04030,Robust,0x5F6E,,fただ１つ,f Just one
ID04030,Robust,0x5F7E,,明日を,Tomorrow
ID04030,Robust,0x5F8E,,！？,!?
ID04030,Robust,0x5F95,,シ、シグマ、,"C, Sigma,"
ID04030,Robust,0x5FA8,,f何これ？！,f What is this?!
ID04030,Robust,0x5FB9,,何が起こったんだ？,What happened?
ID04030,Robust,0x5FD5,,まさか,No way
ID04030,Robust,0x5FE5,,シグマ！,sigma!
ID04030,Robust,0x5FFC,,無事！,Safe!
ID04030,Robust,0x6006,,これなら、シグマ,"With this, Sigma"
ID04030,Robust,0x6021,,家\nまで,To my home
ID04030,Robust,0x602F,,帰れるよね？,"I can go home, right?"
ID04030,Robust,0x6042,,あぁ,Ah
ID04030,Robust,0x6049,,$c02逢魔$c00が溢れてる,$c02 Ouma $c00 is overflowing
ID04030,Robust,0x606D,,それに街,And the city
ID04030,Robust,0x6085,,\n誰もいない,\nNobody
ID04031,Robust,0x1EBC,,そんな,Such
ID04031,Robust,0x1ECB,,\nまさか負けるなんて,\nI never thought we'd lose.
ID04031,Robust,0x1EE9,,残念無念\n負け犬わんわん,"What a shame, what a loser, woof woof"
ID04031,Robust,0x1F0D,,痛っ,Ouch!
ID04031,Robust,0x1F16,,たあ。\nん,Taa.\n yeah
ID04037,Robust,0x0014,,道がない,There is no road
ID04037,Robust,0x002A,,この時間は、\nここから先の世界が\nないみたい,"At this time,\n It seems like there's no world beyond this point."
ID04037,Robust,0x0071,,そうか、時の狭間は、\,"I see, the gap in time is..."
ID04037,Robust,0x0A18,,静馬と,Shizuma and
ID04037,Robust,0x0A2C,,怪しいのは\nどっちだ！,Which one is the suspicious one?!
ID04037,Robust,0x1418,,小梅さんと,Koume-san
ID04037,Robust,0x1428,,執事さん,Butler
ID04037,Robust,0x1435,,どっちも,Both
ID04037,Robust,0x1E18,,静馬と佳子,Shizuma and Yoshiko
ID04037,Robust,0x1E28,,特に変なことは,Nothing in particular is strange
ID04037,Robust,0x1E3E,,なさそうだね,Doesn't seem likely.
ID04038,Table,0x0070,0,そうだ、シグマ,"That's right, Sigma"
ID04038,Table,0x0086,1,はい、これ,"Yes, this"
ID04038,Table,0x0096,2,【手帳】？,【pocket book】?
ID04038,Table,0x00A6,3,うん、こんなことも\nあろうかと\n持ってきてたわ,"Yeah, I brought it along just in case something like this happened."
ID04038,Table,0x012D,6,$,
ID04038,Table,0x0134,7,$$8$|$,
ID04038,Table,0x015E,8,O$c$|$,
ID04038,Table,0x0191,9,|$^#,
ID04038,Table,0x01FF,11,$─熚┗⬀%騀q,
ID04038,Table,0x0258,12,─%騀q洀%─熚,
ID04038,Table,0x02AB,13,騀䁱攟渠鵡ᝩß排慨⁲†琥⁯,
ID04043,Robust,0x0818,,$c01すべての式札の\n残り使用回数が\n＋１された,$c01 The remaining uses of all talismans have been increased by 1.
ID04043,Robust,0x085A,,$c01魂の影の位置が\n判,The location of the shadow of the soul $c01 is unknown.
ID04043,Robust,0x166C,,と～うちゃく！,We've arrived!
ID04043,Robust,0x1682,,やっと帰ってきたね,You're finally back!
ID04043,Robust,0x169E,,うん、大時計も元通り,"Yes, the clock is back to normal."
ID04043,Robust,0x16BD,,これで、一件落,That settles it.
ID04048,Robust,0x020C,,？\nおかしいわね,?\n That's strange.
ID04048,Robust,0x022A,,鍵がかかって,The door is locked.
ID04053,Robust,0x0430,,シグマ,sigma
ID04053,Robust,0x043A,,ん？,yeah?
ID04053,Robust,0x0441,,そろそろ、\n戦闘中の旋律を\n変えてみない？,"It's about time,\n How about changing the melody during battle?"
ID04053,Robust,0x047F,,そうだね、$c02逢魔$c00も\n多くなってくる\nだろうから,"Yeah, there will probably be a lot more $c02 Ouma $c00 too."
ID04053,Robust,0x04C8,,こちらの戦い方にも\n幅が必要かもしれない,We may need to broaden our fighting style as well.
ID04053,Robust,0x0504,,うん,Yeah
ID04053,Robust,0x12EC,,この時間は\n現在選べません,This time slot is currently unavailable.
ID04053,Robust,0x1313,,９時に飛びます\n　　　（仮）,I'll fly at 9 o'clock (tentative)
ID04053,Robust,0x133D,,１０時に飛びます\n　　　（仮）,I'll be flying at 10 o'clock (tentative).
ID04053,Robust,0x136A,,１１時に飛び,Fly at 11 o'clock
ID04077,Robust,0x08CC,,ユリ子！\nユリ子はいるか！？,Yuriko!\n Is Yuriko there?!
ID04077,Robust,0x0909,,どこにいったんだ？,Where did it go?
ID04085,Robust,0x1338,,ねね？,Hey?
ID04085,Robust,0x1342,,どこにいっちゃったの\nかしら,I wonder where they went.
ID04085,Robust,0x1375,,ねねちゃん,Nene-chan
ID04085,Robust,0x138A,,\n昇降機に,\nIn the elevator
ID04085,Robust,0x139F,,ねねっちは厨で\n寂しい眠りに\nついている,Nenechi is sleeping sadly in the kitchen.
ID04085,Robust,0x13E0,,家の,house
ID04087,Robust,0x114C,,入り,entry
ID04089,Robust,0x083C,,ん？,yeah?
ID04089,Robust,0x0843,,ドサっ！！\nと大きな音\n（仮）,Thud!!\n and a loud noise (tentative)
ID04089,Robust,0x086F,,針が動いて,The needle moves
ID04089,Robust,0x0884,,\n落ちてきたのか,\nDid it fall?
ID04089,Robust,0x08A2,,冷たい,cold
ID04093,Table,0x0030,0,？！,?!
ID04093,Table,0x0037,1,$c02自殺$c00……なの？,$c02 suicide $c00 ...is that it?
ID04093,Table,0x0055,2,むむ……\nよっちゃん$c02自殺$c00？,Hmm...\n Yo-chan $c02 suicide $c00 ?
ID04093,Table,0x0084,3,$c02自殺$c00……？\nなんで？？,$c02 suicide $c00 ...?\n why??
ID04093,Table,0x00AD,4,これだけじゃ\n分からない……,This alone isn't enough information...
ID04093,Table,0x00D7,5,【佳子の自殺？】\nの刻音を手に入れた！,[Was Yoshiko's suicide?]\n I obtained the sound of the marker!
ID04097,Robust,0x03B4,,よくない印,Bad sign
ID04097,Robust,0x03CA,,$c02廊下から人が走る物音\n（仮）$c00,$c02 Sound of someone running from the corridor (tentative) $c00
ID04097,Robust,0x0400,,もしかして、\nこの後に,"Perhaps,\n After this"
ID04097,Robust,0x0427,,推測。ねねっちは、\nこの後,"Speculation. Nenechi is,\n After this"
ID04098,Robust,0x07A9,,あ、い,love
ID04106,Robust,0x0220,,$c01ＳＰは特定の逢魔を\n倒すことで入手でき、,$c01 SP can be obtained by defeating certain demons.
ID04106,Robust,0x0260,,$c01一定量溜めると、\n新たな神霊を降ろせる\nようになります,"When a certain amount of $c01 accumulates,\n You will be able to summon new divine spirits."
ID04106,Robust,0x02B4,,$c01また、戦闘中に特定の\n行動をしていた場合、,"$c01 Also, if you performed a specific action during combat,"
ID04106,Robust,0x02F7,,$c01得られるＳＰが\n２倍になります,$c01 The SP you receive will be doubled.
ID04113,Robust,0x03CC,,なんどやっても、\n変だ,"No matter how many times I try,\n That's strange."
ID04113,Robust,0x03F3,,こんなの初めて,This is the first time I've ever experienced something like this.
ID04113,Robust,0x040F,,でも,but
ID04113,Robust,0x041C,,一体、何が\n変なんだろ,What exactly is so strange?
ID04117,Robust,0x0A80,,遅れました,I'm late.
ID04117,Robust,0x0A90,,待たせて\nしまいましたか？,Did I keep you waiting?
ID04117,Robust,0x0AB7,,いや、\n丁度いいところだよ,"no,\n That's just the right spot."
ID04117,Robust,0x0ADE,,それでは、\n再開と,"So,\n Resumption and"
ID04135,Robust,0x1E60,,えっ,Huh?
ID04135,Robust,0x1E70,,どうして、鍵が,Why is the key
ID04135,Robust,0x1E8F,,きゃぁーーーーー！,Ahhhhhhh!
ID04135,Robust,0x1EAB,,！？,!?
ID04135,Robust,0x1EB2,,む！？,nothing!?
ID04135,Robust,0x1EBC,,な？！,What?!
ID04135,Robust,0x1EC6,,な、なに？\nどうしたの？,W-what?\n what happened?
ID04135,Robust,0x1EEA,,新事件？,New incident?
ID04135,Robust,0x1EF7,,ちょっと、何事？！,"Hey, what's going on?!"
ID04135,Robust,0x1F13,,僕らも中に\n入ってみよう,Let's go inside too.
ID04135,Robust,0x1F37,,きっと、\n魂の影もあるはずだ,"surely,\n There must be a shadow of the soul as well."
ID04135,Robust,0x1F61,,【鍵を開けた佳子】\nの刻音を手に入れた！,[Kako unlocks the door]\n I obtained the sound of the marker!
ID04139,Robust,0x1F78,,まだ、嫌な\n結果しかでない,"So far, only negative results have been obtained."
ID04139,Robust,0x1FA5,,きゃぁーーーーー！,Ahhhhhhh!
ID04139,Robust,0x1FC7,,母様？,Mother?
