File,Type,Offset,Index,Japanese,English
ID04804,Robust,0x048C,,ねじ曲げられた時間が、\n僕に助けを求め,"Twisted time,\n Ask me for help"
ID04804,Robust,0x04C5,,真実の欠片を残して\nくれているようだ,It seems to have left behind a fragment of the truth.
ID04804,Robust,0x04FB,,ここで,Here
ID04820,Table,0x0050,0,神霊がくれた力の一部、,"A part of the power given by the divine spirit,"
ID04820,Table,0x0072,1,すべて揃えることが\nできれば、,"If you can get everything,"
ID04820,Table,0x009F,2,何かが起きるはずだ,Something is bound to happen.
ID04820,Table,0x00BB,3,神霊がくれた刻音を\nすべて置いてみよう,Let's place all the sounds given to us by the divine spirits.
ID04820,Table,0x00F4,4,苣鞁裥뎟璾ꀮ胣麥鳩ꮁ湜ꫨ膂苣貂艭螳,
ID04820,Table,0x017D,6,掁,
ID04820,Table,0x01ED,9,Ġ஀	㠀ៀ,
ID04846,Robust,0x0C95,,能だ,Noh
ID04887,Robust,0x00FA,,解き,Solve
ID04887,Robust,0x011C,,解き,Solve
ID04887,Robust,0x012B,,べき,should
ID04887,Robust,0x0136,,が見えc\r,It is visible\r
ID04887,Robust,0x014C,,今は,now
ID04887,Robust,0x0171,,闇は既d,Darkness is already
ID04887,Robust,0x017D,,\n払われc\r,\npaid\r
ID04887,Robust,0x019B,,闇は払われた,The darkness has been dispelled.
ID04887,Robust,0x01AE,,大逢魔は\n$c02１４時$c00,The Great Demon\n $c02１４ $c00
ID04887,Robust,0x01EA,,はず,should
ID04887,Robust,0x01F4,,大逢魔は\n$c02１６時$c00,The Great Demon\n $c02１６ $c00
ID04887,Robust,0x0236,,はず,should
ID04887,Robust,0x0240,,大逢魔は\n$c02１７時$c00,The Great Demon\n $c02１７ : $c00
ID04887,Robust,0x0282,,はず,should
ID04887,Robust,0x028C,,大逢魔は\n$c02１６時$c00,The Great Demon\n $c02１６ $c00
ID04887,Robust,0x02CE,,はず,should
ID04887,Robust,0x02D8,,大逢魔は\n$c02１８時$c00,The Great Demon\n $c02１８ : $c00
ID04887,Robust,0x0317,,はず,should
ID04887,Robust,0x0321,,大逢魔は\n$c02１９時$c00,The Great Demon\n $c02１９ : $c00
ID04887,Robust,0x035A,,はず,should
ID04887,Robust,0x0364,,大逢魔は\n$c02２０時$c00,The Great Demon\n $c02２０ $c00
ID04887,Robust,0x039D,,はず,should
ID04887,Robust,0x03A7,,大逢魔は\n$c02１３時$c00,The Great Demon\n $c02１３ $c00
ID04887,Robust,0x03E6,,はず,should
ID04887,Robust,0x03F0,,大逢魔は\n$c02２１時$c00,The Great Demon\n $c02２１ : $c00
ID04887,Robust,0x0412,,【駅ホ,[Station Hall
ID04887,Robust,0x041E,,ム】\nd,Mu]\n d
ID04887,Robust,0x042F,,はず,should
ID04887,Robust,0x0453,,りなお =,Rinao =
ID04887,Robust,0x0474,,i.タッチ =?よ,i. Touch = ? yo
ID04887,Robust,0x048F,,$c02大逢魔$c00は既d,$c02 Daiohma $c00 is already d
ID04887,Robust,0x04BE,,りなお =,Rinao =
ID04887,Robust,0x04DF,,i.タッチ =?よ,i. Touch = ? yo
ID04887,Robust,0x04F9,,nは執事と見c\r,n is seen as a butler.\r
ID04887,Robust,0x051D,,はず,should
ID04887,Robust,0x052D,,根拠とな,The basis is
ID04887,Robust,0x0551,,今回は犯,This time it's the crime
ID04887,Robust,0x0563,,姿が,The appearance
ID04887,Robust,0x056E,,えなかったが,I couldn't do it.
ID04887,Robust,0x058D,,執事が犯,The butler committed the crime
ID04887,Robust,0x05A7,,か？,mosquito?
ID04887,Robust,0x05B1,,拠とな,base
ID04887,Robust,0x05D2,,芙蓉が執事d,Fuyou is the butler
ID04887,Robust,0x05EA,,n$c00され,n $c00 was done
ID04887,Robust,0x0603,,問お,Question
ID04887,Robust,0x060C,,と\n =?た,and\n =?ta
ID04887,Robust,0x061A,,とは何か,What is
ID04887,Robust,0x0636,,入れた\n情報d,Information entered d
ID04887,Robust,0x0681,,nが執事では\nな,n is not a butler
ID04887,Robust,0x069C,,とは,What is
ID04887,Robust,0x06AE,,力で,by force
ID04887,Robust,0x06BB,,tされc\r,tsarec\r
ID04887,Robust,0x06C5,,=?まった,=? Wait
ID04887,Robust,0x06D5,,れは一体ど,What on earth is that?
ID04887,Robust,0x070B,,n$c00された部屋は\n,The room that was set to n $c00\n
ID04887,Robust,0x0727,,室か,Room
ID04887,Robust,0x0739,,みえた,I could see it
ID04887,Robust,0x0743,,執事は一体,Who is the butler?
ID04887,Robust,0x0787,,手がかりとな,A clue
ID04887,Robust,0x07C0,,n$c00された原因,n $c00 was the cause
ID04887,Robust,0x07E3,,j.はどれ\n,Which one is j.?\n
ID04887,Robust,0x07FD,,ユリ子は$c02死亡$c00d,Yuriko died in $c02 $c00 d
ID04887,Robust,0x083A,,た\nよ,Yes
ID04887,Robust,0x0848,,思え,Think
ID04887,Robust,0x0896,,使われた\n,Used\n
ID04887,Robust,0x08A7,,器はど,What kind of dishes are they?
ID04887,Robust,0x08BB,,った,tta
ID04887,Robust,0x0904,,n$c00は達成された,n $c00 was achieved
ID04897,Table,0x0020,0,判定ミス！\n推理中のビデオを共に\nバグ報告してください,Misjudgment!\n Please report the bug along with the video of your investigation.
ID04897,Table,0x0070,1,推理を急ぎすぎた……,
ID04897,Table,0x008F,2,推理が破綻している？,Is the reasoning flawed?
ID04897,Table,0x00AE,3,全く関係のない刻音を\n置くのをやめなければ\n判定すらできないか…,"If I don't stop placing completely unrelated sound effects, I won't even be able to make a judgment..."
ID04901,Table,0x0020,0,エラー\nバグ報告お願いします,Please report any errors or bugs.
ID04901,Table,0x004A,1,刻音の置き方に\n問題があったか……？,Was there a problem with how the sound was placed...?
ID04901,Table,0x0080,2,これは１つの結論\nしかし、完璧ではない？,"This is one conclusion, but it's not perfect, is it?"
ID04901,Table,0x00BC,3,印のついた闇の\n考え方を変えれば\n違う展開が……？,Changing the way we think about the marked darkness might lead to a different outcome...?
ID04911,Table,0x0038,0,エラー\nバグ報告お願いします,Please report any errors or bugs.
ID04911,Table,0x0062,1,推理が破綻している？,Is the reasoning flawed?
ID04911,Table,0x0081,2,闇と関係のない刻音を\n置くのをやめなければ\n判定すらできないか…,"If I don't stop placing sounds unrelated to darkness, I won't even be able to make a judgment..."
ID04911,Table,0x011C,4,ĀĀ☂ࡠ言 Ѐ᐀ 倠ⶰ—ࠀ耀ហဈ￰⸊ Ђ,
ID04911,Table,0x01B3,6,✰១瀀ଅס뼁忰⠰꟡Ƅ @И⠀ 肣@ꌨ 0,
ID04913,Robust,0x0410,,こんにちわ\nシグマ,Hello Sigma
ID04913,Robust,0x042B,,こんばんわ,good evening
ID04914,Robust,0x0210,,こんにちわ\nシグマ,Hello Sigma
ID04914,Robust,0x022B,,こんばんわ,good evening
ID04915,Table,0x0010,0,こんにちわ\nシグマ,Hello Sigma
ID04915,Table,0x002B,1,こんばんわ,good evening
ID04918,Robust,0x0210,,こんにちわ\nシグマ,Hello Sigma
ID04918,Robust,0x022B,,こんばんわ,good evening
ID04920,Robust,0x0210,,こんにちわ\nシグマ,Hello Sigma
ID04920,Robust,0x022B,,こんばんわ,good evening
ID04922,Robust,0x0210,,こんにちわ\nシグマ,Hello Sigma
ID04922,Robust,0x022B,,こんばんわ,good evening
ID04925,Table,0x0010,0,こんにちわ\nシグマ,Hello Sigma
ID04925,Table,0x002B,1,こんばんわ,good evening
ID04927,Robust,0x0210,,こんにちわ,hello
ID04927,Robust,0x0220,,こんばんわ,good evening
ID04983,Table,0x0010,0,こんにちわ\nシグマ,Hello Sigma
ID04983,Table,0x002B,1,こんばんわ,good evening
ID04985,Robust,0x0210,,こんにちわ\nシグマ,Hello Sigma
ID04985,Robust,0x022B,,こんばんわ,good evening
ID04990,Robust,0x0410,,やっぱりここだ,This is definitely the place.
ID04990,Robust,0x042C,,機関車からみたいだ\n行ってみよう,"It looks like it's coming from a locomotive, let's go!"
ID04990,Robust,0x0E10,,こんにちわ\nシグマ,Hello Sigma
ID04990,Robust,0x0E2B,,こんばんわ,good evening
ID04991,Table,0x0010,0,こんにちわ\nシグマ,Hello Sigma
ID04991,Table,0x002B,1,こんばんわ,good evening
ID04992,Robust,0x0410,,こんにちわ\nシグマ,Hello Sigma
ID04992,Robust,0x042B,,こんばんわ,good evening
ID04993,Robust,0x0210,,こんにちわ\nシグマ,Hello Sigma
ID04993,Robust,0x022B,,こんばんわ,good evening
ID04994,Table,0x0010,0,こんにちわ\nシグマ,Hello Sigma
ID04994,Table,0x002B,1,こんばんわ,good evening
