File,Type,Offset,Index,Japanese,English
ID04511,Table,0x0048,0,今、麟君の、って\n言ったよね,"You just said Rin-kun's, right?"
ID04511,Table,0x0072,1,りんりんのアレ？,Rinrin's thing?
ID04511,Table,0x008B,2,麟の物が落ちてた\nっぽい？,It looks like something belonging to Rin was lying there?
ID04511,Table,0x00B2,3,ああ、何か\n麟の持ち物を\n拾ったみたいだ,"Ah, it looks like I picked up something that belonged to Rin."
ID04511,Table,0x00ED,4,重要な遺留品ね,Important belongings left behind.
ID04511,Table,0x0103,5,この場面、重要ふう,This scene seems important.
ID04511,Table,0x011F,6,事件の手がかり、\nってわけね,"Clues to the case,\n So that's it."
ID04511,Table,0x0149,7,うん、\n早速刻音を作ろう,"Yeah,\n Let's make a sound right away."
ID04511,Table,0x016D,8,【佳子の拾い物】\nの刻音を手に入れた！,[Kako's finds]\n I obtained the sound of the marker!
ID04533,Robust,0x0259,,\nって言ったよね,"\nThat's what you said, right?"
ID04533,Robust,0x0271,,よっちゃん、ご頭首の\n部屋で$c02逢魔$c00のケイコ？,"Yo-chan, is Keiko from $c02 Oumaga $c00 in the boss's room?"
ID04533,Robust,0x02B8,,今、$c02逢魔$c00って言った？,Did you just say $c02 Ouma $c00 ?
ID04533,Robust,0x02DF,,ああ,ah
ID04533,Robust,0x02E6,,何なんだろうね？,I wonder what it is?
ID04533,Robust,0x02FF,,なにゴト？,What's going on?
ID04533,Robust,0x030F,,気になるなぁ、何だろ？,"I'm curious, what could it be?"
ID04533,Robust,0x0331,,これだけでは、\n何とも,This alone is not enough.\n What can I say?
ID04533,Robust,0x0358,,【佳子のつぶやき】\nの刻音を手に入れた！,[Kako's Tweet]\n I obtained the sound of the marker!
ID04541,Robust,0x0488,,ああぁ,Ahhh
ID04541,Robust,0x0498,,これで\n良かったのかしら,I wonder if this was the right thing to do?
ID04541,Robust,0x04C0,,誰かいるの？,Is anyone there?
ID04541,Robust,0x04D3,,あなたは！,you!
ID04541,Robust,0x04E3,,何をする,what are you going to do
ID04550,Robust,0x0009,,\n少し気にな,\nI'm a little concerned
ID04559,Robust,0x05B8,,すごい秘密を\n見つけたかも,I think I've discovered an amazing secret.
ID04559,Robust,0x05E5,,お婆様の事件も、みんな\n解決しちゃいそうだ,It looks like all of Grandma's cases will be solved too.
ID04559,Robust,0x0624,,コレ、どうしとけば\nいいんだろ,What should I do about this?
ID04565,Robust,0x0448,,あれが本当なら、\nこの部屋のどこかに,"If that's true,\n Somewhere in this room"
ID04565,Robust,0x0481,,あったわ！,I found it!
ID04565,Robust,0x0491,,やっぱり,on second thoughts
ID04565,Robust,0x04A4,,何を\n見つけたんだろう,I wonder what they found.
ID04565,Robust,0x04C5,,怪しいね,That's suspicious.
ID04565,Robust,0x04D2,,仮面の秘密,The secret of the mask
ID04565,Robust,0x04E2,,執事がなんか、\n隠し持ってたんでしょ,"The butler said something,\n You were hiding it, weren't you?"
ID04565,Robust,0x0518,,事件の大きな\n手がかりだろうね,This will likely be a major clue in the case.
ID04565,Robust,0x0545,,【ユリ子の発見】\nの刻音を手に入れた！,[Yuriko's discovery]\n I obtained the sound of the marker!
ID04593,Robust,0x0740,,$c02殺人$c00予告！,$c02 Murder $c00予告!
ID04595,Robust,0x0648,,シグマ,sigma
ID04595,Robust,0x0668,,だった？,Was it?
ID04595,Robust,0x0675,,あぁ,Ah
ID04595,Robust,0x0681,,\nなんとか,\nSomehow
ID04595,Robust,0x0696,,私は,I
ID04595,Robust,0x06A2,,\nもう,\nalready
ID04595,Robust,0x06B1,,ネオン？！,neon?!
ID04595,Robust,0x06C1,,ごめん,sorry
ID04595,Robust,0x06D0,,\nなさい,\nDo it
ID04595,Robust,0x06E2,,でも,but
ID04613,Robust,0x1010,,あら,fault
ID04613,Robust,0x101C,,？\nこの電話、\n壊れてるのかしら？,"?\n This phone,\n Is it broken?"
ID04613,Robust,0x104E,,なっ,Nah
ID04613,Robust,0x105A,,？！,?!
ID04613,Robust,0x106A,,あなた！,you!
ID04613,Robust,0x1C08,,ここまでのお話を,Let's continue with what we've discussed so far.
ID04617,Robust,0x0608,,イベント制作中,Event production in progress
ID04617,Robust,0x1608,,イベント制作中,Event production in progress
ID04621,Table,0x0078,0,お茶が入りました,The tea is ready.
ID04621,Table,0x0091,1,いつもありがとう,thank you as always
ID04621,Table,0x00AA,2,いえ……,
ID04621,Table,0x00B7,3,どうかしたの？\n浮かない顔をして,Is something wrong?\n With a gloomy expression
ID04621,Table,0x00E7,4,実は……,
ID04621,Table,0x00F4,5,ꓥ蚩꟦劁Ԁ^敶务─,
ID04623,Robust,0x0A5C,,大婆様に始まり、,"It began with the great-grandmother,"
ID04625,Robust,0x0E0C,,お婆様、すみません,"I'm sorry, Grandma."
